geography,amount,amount_formatted
Oregon,70084,"$70,084"
Baker,46922,"$46,922"
Benton,68732,"$68,732"
Clackamas,88517,"$88,517"
Clatsop,61846,"$61,846"
Columbia,73909,"$73,909"
Coos,52548,"$52,548"
Crook,64820,"$64,820"
Curry,57553,"$57,553"
Deschutes,74082,"$74,082"
Douglas,52479,"$52,479"
Gilliam,51705,"$51,705"
Grant,51100,"$51,100"
Harney,42095,"$42,095"
Hood River,77815,"$77,815"
Jackson,61020,"$61,020"
Jefferson,59748,"$59,748"
Josephine,51733,"$51,733"
Klamath,50790,"$50,790"
Lake,50685,"$50,685"
Lane,59016,"$59,016"
Lincoln,54961,"$54,961"
Linn,63313,"$63,313"
Malheur,47906,"$47,906"
Marion,64880,"$64,880"
Morrow,61659,"$61,659"
Multnomah,76290,"$76,290"
Polk,70238,"$70,238"
Sherman,53606,"$53,606"
Tillamook,55730,"$55,730"
Umatilla,63123,"$63,123"
Union,55227,"$55,227"
Wallowa,57891,"$57,891"
Wasco,57853,"$57,853"
Washington,92025,"$92,025"
Wheeler,46648,"$46,648"
Yamhill,73409,"$73,409"
